Timestamp,Quelle âge avez vous? ,sexe,Niveau d'étude,  Lieu de résidence   ,Nombre d’heures de sommeil moyen par nuit :  , [Je me sens généralement heureux(se) et satisfait(e) de ma vie.], [Je ressens souvent une pression mentale excessive dans mon quotidien], [Je me sens motivé(e) à atteindre mes objectifs personnels et académiques], [Je ressens souvent un sentiment de calme et d’équilibre émotionnel.]," [J’ai du mal à me détendre, même lorsque j’ai du temps libre.]", [J’ai confiance en ma capacité à surmonter les défis de la vie.], [Je me sens fréquemment fatigué(e) ou épuisé(e) mentalement.], [Je prends plaisir à accomplir mes tâches quotidiennes], [Je ressens de l’enthousiasme pour mes études ou mon travail], [Je me sens en contrôle de mes pensées et de mes émotions.], [Je trouve facilement des solutions aux problèmes qui se présentent à moi.], [Je me sens impliqué(e) et investi(e) dans ce que je fais.], [J’ai des pensées négatives qui reviennent régulièrement.], [Je parviens à maintenir un bon niveau de concentration dans mes activités.], [Je ressens souvent une pression excessive liée à mes études/travail.], [Je me sens souvent dépassé(e) par mes responsabilités personnelles et académiques.], [Je ressens fréquemment des pensées négatives qui augmentent mon stress.]," [Je ressens du stress dans les interactions sociales (ex. : prise de parole, travail en groupe).]", [Les délais et les échéances me mettent sous une forte pression], [Je dors mal à cause du stress ou de l’anxiété.], [Je me sens stressé(e) face à l’incertitude de mon avenir.], [L’environnement dans lequel je travaille ou étudie contribue à mon stress], [J’ai peur d’échouer dans mes études ou mon travail.], [J’ai du mal à gérer plusieurs tâches en même temps sans ressentir du stress.], [Je me sens facilement irritable ou frustré(e) en raison du stress]," [Les attentes des autres (famille, amis, professeurs, employeurs) me mettent une pression importante.]", [Je ressens un manque de soutien de la part de mon entourage lorsque je suis stressé(e).], [Je ressens un stress financier qui impacte mon bien-être général.], [Avez-vous déjà consulté un psychologue pour des raisons liées à votre santé mentale ?], [Avez-vous déjà hésité à consulter un psychologue par peur du regard des autres ?], [Pensez-vous que les services de santé mentale sont suffisamment accessibles aux étudiants ?], [Avez-vous remarqué un changement dans votre appétit en raison de votre état mental ?], [Passez-vous beaucoup de temps sur les écrans au détriment de votre bien-être mental ?], [Avez-vous une personne de confiance à qui parler lorsque vous ne vous sentez pas bien mentalement ?], [Pratiquez-vous une activité physique régulière pour améliorer votre bien-être mental ?], [Pensez-vous que votre établissement propose un soutien psychologique suffisant aux étudiants]
02/04/2025 13:40:13,21,Femme,cycle d'ingénieur,chez la famille,7,Plutôt d’accord,Neutre,Neutre,Plutôt pas d’accord,Pas du tout d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Pas du tout d’accord,Pas du tout d’accord,Pas du tout d’accord,Pas du tout d’accord,Plutôt pas d’accord,Pas du tout d’accord,Pas du tout d’accord,Pas du tout d’accord,Pas du tout d’accord,Plutôt pas d’accord,Pas du tout d’accord,Plutôt pas d’accord,oui,non,non,oui,oui,oui,non,non
02/04/2025 13:42:55,21,Femme,cycle d'ingénieur,chez la famille,7,Plutôt d’accord,Neutre,Neutre,Plutôt pas d’accord,Plutôt pas d’accord,Neutre,Neutre,Neutre,Neutre,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Neutre,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Pas du tout d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Pas du tout d’accord,Pas du tout d’accord,non,oui,non,oui,oui,oui,non,non
02/04/2025 13:47:23,21,Femme,cycle d'ingénieur,foyer universitaire,9h,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt pas d’accord,Pas du tout d’accord,Plutôt d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Pas du tout d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,Plutôt d’accord,Plutôt pas d’accord,Neutre,Neutre,Tout à fait d’accord,Pas du tout d’accord,Pas du tout d’accord,Plutôt pas d’accord,Pas du tout d’accord,Tout à fait d’accord,Plutôt d’accord,Tout à fait d’accord,Tout à fait d’accord,Plutôt pas d’accord,Pas du tout d’accord,non,non,non,non,oui,oui,non,non
02/04/2025 13:54:48,22,Femme,cycle d'ingénieur,colocation,6,Plutôt d’accord,Tout à fait d’accord,Plutôt d’accord,Neutre,Pas du tout d’accord,Tout à fait d’accord,Plutôt pas d’accord,Neutre,Neutre,Neutre,Neutre,Plutôt d’accord,Plutôt pas d’accord,Plutôt d’accord,Tout à fait d’accord,Neutre,Plutôt pas d’accord,Neutre,Plutôt d’accord,Plutôt pas d’accord,Neutre,Tout à fait d’accord,Tout à fait d’accord,Neutre,Neutre,Plutôt d’accord,Pas du tout d’accord,Plutôt pas d’accord,oui,non,non,oui,oui,oui,oui,non
02/04/2025 14:02:30,21,Homme,licence,chez la famille,6,Plutôt pas d’accord,Plutôt d’accord,Neutre,Neutre,Neutre,Neutre,Neutre,Neutre,Neutre,Neutre,Neutre,Neutre,Neutre,Neutre,Plutôt d’accord,Neutre,Neutre,Plutôt pas d’accord,Plutôt d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Neutre,Neutre,Neutre,Plutôt pas d’accord,Plutôt d’accord,non,oui,non,oui,oui,oui,non,non
02/04/2025 14:03:21,23,Homme,cycle d'ingénieur,chez la famille,8,Pas du tout d’accord,Tout à fait d’accord,Tout à fait d’accord,Pas du tout d’accord,Pas du tout d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Plutôt d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,non,non,non,non,oui,oui,non,non
02/04/2025 14:04:49,21,Femme,cycle d'ingénieur,colocation,8,Plutôt d’accord,Plutôt pas d’accord,Tout à fait d’accord,Plutôt d’accord,Pas du tout d’accord,Neutre,Pas du tout d’accord,Tout à fait d’accord,Tout à fait d’accord,Plutôt d’accord,Neutre,Neutre,Pas du tout d’accord,Plutôt d’accord,Pas du tout d’accord,Plutôt pas d’accord,Pas du tout d’accord,Neutre,Neutre,Pas du tout d’accord,Neutre,Pas du tout d’accord,Neutre,Plutôt pas d’accord,Pas du tout d’accord,Plutôt d’accord,Neutre,Neutre,non,non,oui,non,non,oui,oui,oui
02/04/2025 14:06:00,23,Homme,cycle d'ingénieur,chez la famille,7,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Neutre,Plutôt d’accord,Tout à fait d’accord,Plutôt pas d’accord,Plutôt d’accord,Neutre,Plutôt d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,Neutre,Neutre,Plutôt d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Neutre,Pas du tout d’accord,non,non,non,oui,oui,oui,non,non
02/04/2025 14:08:04,23,Femme,cycle d'ingénieur,chez la famille,7,Plutôt pas d’accord,Plutôt d’accord,Neutre,Neutre,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt pas d’accord,Neutre,Neutre,Plutôt d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,non,non,non,oui,oui,oui,non,non
02/04/2025 14:11:06,23,Homme,licence,colocation,6,Plutôt d’accord,Plutôt d’accord,Neutre,Neutre,Plutôt pas d’accord,Plutôt d’accord,Neutre,Plutôt d’accord,Neutre,Neutre,Neutre,Neutre,Tout à fait d’accord,Plutôt d’accord,Neutre,Plutôt d’accord,Neutre,Neutre,Plutôt d’accord,Pas du tout d’accord,Pas du tout d’accord,Pas du tout d’accord,Pas du tout d’accord,Neutre,Plutôt d’accord,Plutôt pas d’accord,Neutre,Pas du tout d’accord,oui,non,non,oui,oui,non,oui,non
02/04/2025 14:12:17,23,Homme,cycle d'ingénieur,colocation,9,Plutôt d’accord,Neutre,Plutôt d’accord,Tout à fait d’accord,Plutôt pas d’accord,Tout à fait d’accord,Pas du tout d’accord,Tout à fait d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,Pas du tout d’accord,Plutôt d’accord,Tout à fait d’accord,Plutôt d’accord,Plutôt d’accord,Neutre,Pas du tout d’accord,Neutre,Plutôt d’accord,Neutre,Plutôt pas d’accord,Pas du tout d’accord,Plutôt d’accord,Neutre,Neutre,Plutôt pas d’accord,Plutôt d’accord,non,non,non,non,oui,non,oui,non
02/04/2025 14:16:57,21,Femme,cycle d'ingénieur,foyer universitaire,6-7,Plutôt d’accord,Neutre,Plutôt d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt d’accord,Plutôt pas d’accord,Plutôt d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,Plutôt pas d’accord,Plutôt d’accord,Plutôt pas d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt pas d’accord,Plutôt d’accord,Plutôt pas d’accord,Neutre,Plutôt pas d’accord,Plutôt d’accord,Plutôt pas d’accord,Plutôt d’accord,Plutôt d’accord,non,oui,non,oui,non,oui,oui,non
02/04/2025 14:18:30,21,Femme,cycle d'ingénieur,colocation,9,Plutôt d’accord,Neutre,Plutôt d’accord,Plutôt pas d’accord,Plutôt d’accord,Plutôt d’accord,Neutre,Plutôt d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt pas d’accord,Plutôt d’accord,Neutre,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt pas d’accord,Tout à fait d’accord,Neutre,Plutôt d’accord,Plutôt pas d’accord,Neutre,Plutôt d’accord,Neutre,Plutôt d’accord,non,non,non,oui,oui,oui,oui,oui
02/04/2025 14:19:11,22,Homme,cycle d'ingénieur,chez la famille,6,Neutre,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,Neutre,Tout à fait d’accord,Plutôt pas d’accord,Pas du tout d’accord,Plutôt pas d’accord,Neutre,Neutre,Plutôt d’accord,Plutôt d’accord,Plutôt pas d’accord,Tout à fait d’accord,Tout à fait d’accord,Tout à fait d’accord,Plutôt d’accord,Plutôt d’accord,Pas du tout d’accord,Neutre,Plutôt pas d’accord,Neutre,Plutôt pas d’accord,Plutôt d’accord,Plutôt d’accord,Plutôt d’accord,Tout à fait d’accord,non,non,non,oui,oui,oui,oui,non
